tin;year;revenue;expenditure
0272022699;2022;2518000.0;2372000.0
0272022709;2018;1409000.0;789000.0
0272022709;2019;791000.0;666000.0
0272022709;2020;2322000.0;1453000.0
0272022709;2021;6199000.0;3471000.0
0272022709;2022;150000.0;121000.0
0272906031;2018;0.0;0.0
0272906031;2019;0.0;0.0
0272915050;2021;0.0;0.0
0272915050;2022;0.0;0.0
0272915741;2020;142000.0;178000.0
0272915741;2021;710000.0;308000.0
0272915741;2022;320000.0;139000.0
0273000257;2018;0.0;0.0
0273000257;2019;1564000.0;707000.0
0273000257;2020;4879000.0;2558000.0
0273000257;2021;4659000.0;2396000.0
0273000257;2022;7464000.0;7508000.0
0273000352;2018;415000.0;410000.0
0273000352;2019;397000.0;392000.0
0273000352;2020;341000.0;389000.0
0273000352;2021;409000.0;427000.0
0273000352;2022;460000.0;482000.0
0273005858;2018;3487000.0;3968000.0
0273005858;2019;4755000.0;3541000.0
0273005858;2020;2825000.0;2251000.0
0273005858;2021;2061000.0;2068000.0
0273005858;2022;2050000.0;2050000.0
0273016176;2018;1669000.0;1535000.0
0273016176;2019;2346000.0;2225000.0
0273016176;2020;2093000.0;2732000.0
0273016176;2021;3667000.0;3334000.0
0273016176;2022;3651000.0;3301000.0
0273017476;2018;0.0;0.0
0273017476;2019;0.0;0.0
0273025614;2018;0.0;0.0
0273025614;2019;0.0;0.0
0273025614;2020;0.0;0.0
0273025614;2021;0.0;0.0
0273031390;2018;2.8927E7;2.8074E7
0273031390;2019;3.5269E7;3.202E7
0273031390;2020;4.0671E7;3.5511E7
0273031390;2021;4.7308E7;4.3531E7
0273031390;2022;1.06452E8;9.2806E7
0273032668;2018;4003000.0;3809000.0
0273032668;2019;6938000.0;5420000.0
0273032668;2020;6481000.0;5028000.0
0273032668;2021;6975000.0;5611000.0
0273032668;2022;7706000.0;6675000.0
0273034070;2018;1.9346E7;1.9E7
0273034070;2019;1.3678E7;1.3475E7
0273035877;2018;0.0;0.0
0273046903;2018;7.8212E7;7.8005E7
0273046903;2019;9.003E7;8.5753E7
0273046903;2020;6.4712E7;6.2006E7
0273046903;2021;1.14539E8;9.7618E7
0273046903;2022;1.44152992E8;1.18242E8
0273057535;2018;339000.0;347000.0
0273057535;2019;760000.0;761000.0
0273057535;2020;320000.0;317000.0
0273059229;2018;6.5964E7;6.4051E7
0273059229;2019;4.6366E7;4.427E7
0273059229;2020;7.1006E7;6.8111E7
0273059229;2021;4.8813E7;4.637E7
0273059229;2022;9.3458E7;8.8907E7
0273067639;2018;1.3501E7;1.3962E7
0273067639;2019;7725000.0;7638000.0
0273067639;2020;5793000.0;5728000.0
0273067639;2021;4100000.0;4113000.0
0273067639;2022;0.0;0.0
0273072692;2018;3.6627E7;3.5975E7
0273072692;2019;5903000.0;6540000.0
0273072692;2020;441000.0;440000.0
0273072692;2021;3157000.0;2974000.0
0273072692;2022;2155000.0;2155000.0
0273082517;2018;0.0;0.0
0273086310;2018;1.1052E7;1.1001E7
0273086310;2019;1.3598E7;1.3504E7
0273086310;2020;2.9965E7;2.98E7
0273086310;2021;2.4466E7;2.4319E7
0273086310;2022;5.1984E7;5.1743E7
0273086504;2018;0.0;0.0
0273086504;2019;0.0;0.0
0273095700;2018;3.0561E7;3.0022E7
0273095700;2019;4.9088E7;4.8966E7
0273095700;2020;7.2853E7;7.2352E7
0273095700;2021;6.3424E7;6.3311E7
0273095700;2022;1.5764E8;1.46574E8
0273097016;2018;0.0;0.0
0273908497;2019;0.0;0.0
0273916032;2018;6439000.0;6435000.0
0273916032;2019;1.3874E7;1.3866E7
0273916032;2020;5214000.0;5209000.0
0273918488;2018;1.0254E7;1.0185E7
0273918488;2019;0.0;0.0
0273921466;2018;0.0;0.0
0273921466;2019;0.0;0.0
0273921466;2020;0.0;0.0
0273921466;2021;0.0;0.0
0273921466;2022;0.0;0.0
0273923907;2018;0.0;0.0
0273923907;2019;5765000.0;2827000.0
0273923907;2020;5929000.0;4026000.0
0273923907;2021;7587000.0;6903000.0
0273923907;2022;2.4007E7;1.3205E7
0273927027;2019;1.9837E7;1.9823E7
0273938942;2020;0.0;0.0
0273938942;2022;780000.0;780000.0
0273940733;2021;0.0;0.0
0273940733;2022;0.0;0.0
0273941230;2021;7055000.0;7046000.0
0273941230;2022;6350000.0;6349000.0
0273943300;2021;28000.0;240000.0
0273943300;2022;922000.0;876000.0
0274002257;2018;4.0252E7;2.5321E7
0274002257;2019;4.7743E7;3.6889E7
0274002257;2020;3.8949E7;3.0972E7
0274002257;2021;4.4702E7;3.5566E7
0274002257;2022;4.5874E7;3.7817E7
0274004180;2018;3.0033E7;3.1973E7
0274004180;2019;6.3654E7;6.2724E7
0274004180;2020;2.6587E7;2.7047E7
0274004180;2021;2.9474E7;2.7707E7
0274004180;2022;2.9663E7;2.8459E7
0274030864;2018;1073000.0;1073000.0
0274030864;2019;1213000.0;1213000.0
0274030864;2020;0.0;0.0
0274030864;2021;0.0;0.0
0274030864;2022;0.0;0.0
0274038045;2018;96000.0;91000.0
